iD	systemName	alternateName	x	y	size	sarnaLink	distance (LY)	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050a	3050b	3050c	3051	3052	3057	3058	3059a	3059b	3059c	3059d	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145	3151	3152
4	Abagnar		380.231	314.823	1,1,0	https://www.sarna.net/wiki/Abagnar	493.649	U	U	U	U	U	U	U	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
9	Abiy Adi		349.466	314.567	1,1,0	https://www.sarna.net/wiki/Abiy_Adi	470.190	U	U	U	U	U	U	U	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
1131	Hongor		390.063	314.277	1,1,0	https://www.sarna.net/wiki/Hongor	500.918	U	U	U			DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
1146	Huaide		376.880	286.623	1,1,0	https://www.sarna.net/wiki/Huaide	473.488	U	U	U			DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
1454	Land's End		407.884	319.998	1,1,0	https://www.sarna.net/wiki/Land's_End	518.428	U	U	U	U	U	U	U	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
1497	Linqing		341.726	310.400	1,1,0	https://www.sarna.net/wiki/Linqing	461.654	U	U	U			DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
2283	Sertar		312.773	292.303	1,1,0	https://www.sarna.net/wiki/Sertar	428.098			I			DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
2380	Soul		377.396	279.121	1,1,0	https://www.sarna.net/wiki/Soul	469.400	U	U	U	U	U	U	U	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
2466	Takata	New Start (3130+)	366.201	301.521	1,1,0	https://www.sarna.net/wiki/New_Start	474.361	U	U	U			DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
2533	Thimphu		346.630	286.365	1,1,0	https://www.sarna.net/wiki/Thimphu	449.619			I			DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	
1873	Ningxia		314.874	313.336	1,1,0	https://www.sarna.net/wiki/Ningxia	444.213	U	U	U			DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	DC,Pesht Military District,Ningxia Prefecture,Minor Capital	
24	Ad Duwayd		361.884	374.511	1,1,0	https://www.sarna.net/wiki/Ad_Duwayd	520.786	U	U	U			DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	
67	Algate		323.626	378.128	1,1,0	https://www.sarna.net/wiki/Algate	497.709	U	U	U			DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	
381	Brailsford		327.490	385.138	1,1,0	https://www.sarna.net/wiki/Brailsford	505.550	U	U	U	U	U	U	U	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	
392	Brihuega		354.897	391.082	1,1,0	https://www.sarna.net/wiki/Brihuega	528.107	U	U	U	U	U	U	U	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Pusht-i-rud Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	DC,Pesht Military District,Qandahar Prefecture	
